,DATE,Daily_WL,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,YEAR
0,2010-12-01,28.6525,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,49.0,30.0,2010
1,2010-12-02,28.609166666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,54.0,28.0,2010
2,2010-12-03,28.6075,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,61.0,33.0,2010
3,2010-12-04,28.622500000000002,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,61.0,37.0,2010
4,2010-12-05,28.833333333333332,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,43.0,34.0,2010
5,2010-12-06,28.920833333333334,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,41.0,27.0,2010
6,2010-12-07,28.959999999999997,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0,2010
7,2010-12-08,29.075,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,2010
8,2010-12-09,29.151666666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,48.0,16.0,2010
9,2010-12-10,29.1875,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,55.0,27.0,2010
10,2010-12-11,29.135833333333334,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.51,0.0,0.0,0.0,57.0,43.0,2010
11,2010-12-12,29.046666666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.0,2010
12,2010-12-13,29.199166666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,2010
13,2010-12-14,29.2825,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,37.0,14.0,2010
14,2010-12-15,29.230833333333333,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.04,0.0,0.0,0.0,45.0,30.0,2010
15,2010-12-16,29.18166666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.27,0.0,0.0,0.0,63.0,41.0,2010
16,2010-12-17,29.278333333333336,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,47.0,35.0,2010
17,2010-12-18,29.247500000000002,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,2010
18,2010-12-19,29.291666666666668,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,24.0,2010
19,2010-12-20,29.349999999999998,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,54.0,27.0,2010
20,2010-12-21,29.349166666666665,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,62.0,49.0,2010
21,2010-12-22,29.439999999999998,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,62.0,32.0,2010
22,2010-12-23,29.583333333333332,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,47.0,27.0,2010
23,2010-12-24,29.561666666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.0,2010
24,2010-12-25,29.531666666666666,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.32,0.0,0.0,0.0,39.0,32.0,2010
25,2010-12-26,29.5775,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.01,0.0,0.0,0.0,35.0,26.0,2010
26,2010-12-27,29.659166666666668,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,42.0,21.0,2010
27,2010-12-28,29.669166666666666,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,47.0,18.0,2010
28,2010-12-29,29.614166666666666,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,57.0,30.0,2010
29,2010-12-30,29.63416666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,58.0,49.0,2010
30,2010-12-31,29.689999999999998,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.22,0.0,0.0,0.0,72.0,55.0,2010
31,2011-01-01,29.104166666666668,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,2.03,0.0,0.0,0.0,64.0,43.0,2011
32,2011-01-02,28.519166666666667,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,24.0,2011
33,2011-01-03,28.435833333333335,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,20.0,2011
34,2011-01-04,28.368333333333336,USW00013876,"BIRMINGHAM AIRPORT, AL US",33.56556,-86.745,187.5,0.0,0.0,0.0,0.0,0.0,0.0,55.0,31.0,2011
