,DATE,Daily_WL,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,YEAR
0,2011-02-16,19.56380952380952,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,46.0,2011
1,2011-02-17,34.30583333333333,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,42.0,2011
2,2011-02-18,34.41583333333333,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,68.0,53.0,2011
3,2011-02-19,34.545833333333334,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,66.0,50.0,2011
4,2011-02-20,34.604166666666664,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,74.0,48.0,2011
5,2011-02-21,34.63166666666667,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,71.0,58.0,2011
6,2011-02-22,34.7875,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,63.0,41.0,2011
7,2011-02-23,34.95333333333333,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.02,0.0,0.0,0.0,69.0,33.0,2011
8,2011-02-24,34.98833333333334,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.44,0.0,0.0,0.0,75.0,56.0,2011
9,2011-02-25,34.975,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.11,0.0,0.0,0.0,61.0,36.0,2011
10,2011-02-26,35.031666666666666,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,69.0,31.0,2011
11,2011-02-27,35.05583333333333,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,75.0,59.0,2011
12,2011-02-28,35.0825,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.54,0.0,0.0,0.0,77.0,43.0,2011
13,2011-03-01,35.13666666666666,USW00003856,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",34.64389,-86.78611,190.2,0.0,0.0,0.0,0.0,0.0,0.0,63.0,38.0,2011
