STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/1/2010,,,0.52,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/2/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/3/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/4/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/5/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/6/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/7/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/8/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/9/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/11/2010,2,0,,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/12/2010,,,0.62,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/13/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/14/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/15/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/16/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/17/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/18/2010,,,0.22,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/19/2010,,,0.01,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/20/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/21/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/22/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/24/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/25/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/26/2010,,,0.41,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/27/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/28/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/29/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/30/2010,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,12/31/2010,,,0.26,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/1/2011,,,0.15,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/2/2011,,,1.35,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/3/2011,,,0.01,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/4/2011,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/5/2011,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/6/2011,,,1.79,,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/7/2011,,,0,0,,,,
US1ALBW0053,"ELBERTA 3.1 SSW, AL US",30.3718,-87.6195,2.1,1/8/2011,,,0,0,,,,
